,Year,Rate
0,1975,12.15
1,1976,12.03
2,1977,10.75
3,1978,11.53
4,1979,14.46
5,1980,16.94
6,1981,21.46
7,1982,19.41
8,1983,14.05
9,1984,14.96
10,1985,13.43
11,1986,11.94
12,1987,11.97
13,1988,12.16
14,1989,12.72
15,1990,14.21
16,1991,12.13
17,1992,10.37
18,1993,9.47
19,1994,10.69
20,1995,10.6
21,1996,8.48
22,1997,7.56
23,1998,7.32
24,1999,8.13
25,2000,8.5
26,2001,7.58
27,2002,7.0
28,2003,6.44
29,2004,6.1
30,2005,5.67
31,2006,6.26
32,2007,6.75
33,2008,6.81
34,2009,5.78
35,2010,5.3
36,2011,4.87
37,2012,4.36
38,2013,4.4
39,2014,4.38
40,2015,3.96
41,2016,3.76
42,2017,4.07
43,2018,4.59
44,2019,4.59
45,2020,4.08
46,2021,3.45
47,2022,3.58
