,Unnamed: 0,Year,Sale,Average_Sale_Price
0,0,1976,19025.0,61389.0
1,1,1977,20512.0,64559.0
2,2,1978,21184.0,67333.0
3,3,1979,23466.0,70830.0
4,4,1980,26017.0,75694.0
5,5,1981,29625.0,90203.0
6,6,1982,25336.0,95496.0
7,7,1983,30046.0,101626.0
8,8,1984,31905.0,102318.0
9,9,1985,45509.0,109094.0
10,10,1986,52919.0,138925.0
11,11,1987,43475.0,189105.0
12,12,1988,49381.0,229635.0
13,13,1989,38960.0,273698.0
14,14,1990,26779.0,255020.0
15,15,1991,38144.0,234313.0
16,16,1992,41703.0,214971.0
17,17,1993,38990.0,206490.0
18,18,1994,44237.0,208921.0
19,19,1995,39273.0,203028.0
20,20,1996,55779.0,198150.0
21,21,1997,58014.0,211307.0
22,22,1998,55344.0,216815.0
23,23,1999,58957.0,228372.0
24,24,2000,58343.0,243255.0
25,25,2001,67612.0,251508.0
26,26,2002,74759.0,275231.0
27,27,2003,78898.0,293067.0
28,28,2004,83501.0,315231.0
29,29,2005,84145.0,335907.0
30,30,2006,83084.0,351941.0
31,31,2007,93193.0,376236.0
32,32,2008,74505.0,379080.0
33,33,2009,86980.0,395234.0
34,34,2010,85860.0,431262.0
35,35,2011,89110.0,464989.0
36,36,2012,85488.0,497073.0
37,37,2013,87047.0,522951.0
38,38,2014,92776.0,566611.0
39,39,2015,101213.0,622116.0
40,40,2016,113040.0,729824.0
41,41,2017,92340.0,822510.0
42,42,2018,78017.0,787842.0
43,43,2019,87747.0,819153.0
44,44,2020,95066.0,929636.0
45,45,2021,121660.0,1095381.0
